Index,Protein_ID,NUM_TM,Category,pLDDT_mean_CA,pLDDT_mean_all
41,A0A1B0GUA7,3,medium transmembrane,67.1489,67.572
42,A0A1B0GUW6,1,single-pass transmembrane,39.0627,39.2152
43,A0A1B0GUW7,1,single-pass transmembrane,78.0253,77.7495
44,A0A1B0GUZ9,1,single-pass transmembrane,70.462,70.5344
45,A0A1B0GV85,1,single-pass transmembrane,58.2354,58.6421
46,A0A1B0GV90,1,single-pass transmembrane,79.1018,80.132
47,A0A1B0GVG4,2,medium transmembrane,80.7386,81.0361
48,A0A1B0GVN3,2,medium transmembrane,55.5848,55.5104
49,A0A1B0GVQ0,1,single-pass transmembrane,68.5683,68.2329
50,A0A1B0GVT2,1,single-pass transmembrane,64.3104,64.7608
51,A0A1B0GVV1,1,single-pass transmembrane,68.8699,68.1579
52,A0A1B0GVY4,1,single-pass transmembrane,66.4901,66.0111
53,A0A1B0GVZ9,8,large transmembrane,80.2345,80.5219
54,A0A1B0GW54,1,single-pass transmembrane,76.7596,76.8867
55,A0A1B0GW64,1,single-pass transmembrane,61.8391,61.8021
56,A0A1B0GWB2,2,medium transmembrane,57.1258,57.84
57,A0A1B0GWG4,1,single-pass transmembrane,67.1651,67.5089
58,A0A1B0GWH6,1,single-pass transmembrane,97.604,97.5883
59,A0A1W2PN81,4,medium transmembrane,78.0036,78.827
60,A0A1W2PQM1,1,single-pass transmembrane,76.9896,77.0178
61,A0A1W2PQU2,2,medium transmembrane,80.3532,80.1773
62,A0A1W2PS18,1,single-pass transmembrane,62.6583,64.5972
63,A0A286YEU6,7,GPCR transmembrane,71.0191,71.1513
64,A0A286YF18,2,medium transmembrane,65.0968,65.3971
65,A0A286YF58,4,medium transmembrane,61.4501,61.7394
66,A0A286YFK9,1,single-pass transmembrane,77.0737,77.3052
67,A0A2R8Y4L6,7,GPCR transmembrane,87.9109,87.9028
68,A0A2R8Y4M2,1,single-pass transmembrane,87.6893,87.4923
69,A0A2R8Y4M4,1,single-pass transmembrane,63.3581,63.4318
70,A0A2R8Y7Y5,1,single-pass transmembrane,55.491,55.741
71,A0A2R8YCJ5,1,single-pass transmembrane,74.4765,74.748
72,A0A2R8YE69,2,medium transmembrane,68.3767,69.2733
73,A0A2R8YED5,7,GPCR transmembrane,88.9528,89.0177
74,A0A2R8YEG4,7,GPCR transmembrane,86.5688,86.3355
75,A0A2R8YEH3,7,GPCR transmembrane,86.1308,85.8806
76,A0A2R8YEV3,7,GPCR transmembrane,86.5334,86.3626
77,A0A2U3TZM8,1,single-pass transmembrane,52.2415,52.5776
78,A0A3B3IT45,7,GPCR transmembrane,86.6417,86.6493
79,A0A494BZU4,4,medium transmembrane,74.9582,75.0169
80,A0A494C0I6,1,single-pass transmembrane,87.8833,87.8939
81,A0A494C176,1,single-pass transmembrane,72.4005,71.9033
82,A0A494C1I1,1,single-pass transmembrane,63.0114,63.7647
83,A0A4W9AIG4,7,GPCR transmembrane,82.7836,82.5594
84,A0A5B9,1,single-pass transmembrane,93.7843,93.8809
85,A0A5F9ZH02,1,single-pass transmembrane,70.7473,70.8205
86,A0A5K1VDZ0,1,single-pass transmembrane,77.8475,77.9412
87,A0A5S8K742,3,medium transmembrane,82.1057,82.7455
88,A0A6I8PU40,2,medium transmembrane,43.0895,43.6486
89,A0A6Q8PGZ7,1,single-pass transmembrane,87.255,87.8533
90,A0A7E1QX52,2,medium transmembrane,50.0576,49.8344
91,A0A7I2V2S6,1,single-pass transmembrane,72.1715,71.8038
92,A0A7I2V3R4,2,medium transmembrane,62.8232,64.3412
93,A0A7I2V4K3,1,single-pass transmembrane,74.4917,74.3225
94,A0AV02,9,large transmembrane,69.4929,68.8726
95,A0AVI2,1,single-pass transmembrane,75.0187,75.1895
96,A0AVI4,3,medium transmembrane,87.9532,88.1762
97,A0FGR8,2,medium transmembrane,73.2705,74.2897
98,A0FGR9,2,medium transmembrane,71.3294,72.132
99,A0PJK1,14,large transmembrane,87.8505,88.1574
100,A0PJW6,2,medium transmembrane,75.6872,75.4355
101,A0PJX4,1,single-pass transmembrane,67.3878,67.2466
102,A0PJX8,9,large transmembrane,78.2217,77.9135
103,A0PK00,6,medium transmembrane,90.3422,90.4211
104,A0PK05,4,medium transmembrane,58.015,58.0274
105,A0PK11,4,medium transmembrane,91.5394,91.3792
106,A0ZSE6,1,single-pass transmembrane,78.0324,77.6506
107,A1A4F0,1,single-pass transmembrane,66.2408,66.3439
108,A1A5B4,10,large transmembrane,80.5538,81.3349
109,A1A5C7,12,large transmembrane,72.1147,73.2906
110,A1L0T0,1,single-pass transmembrane,94.5295,94.7076
111,A1L157,4,medium transmembrane,87.5838,87.4425
112,A1L1A6,1,single-pass transmembrane,77.974,78.3012
113,A1L3X0,7,GPCR transmembrane,88.9335,89.216
114,A2A2V5,1,single-pass transmembrane,63.1103,64.1237
115,A2A2Y4,2,medium transmembrane,74.7676,75.2888
116,A2RRL7,1,single-pass transmembrane,69.5756,70.1574
117,A2RU14,3,medium transmembrane,87.269,87.3443
118,A2RU48,4,medium transmembrane,82.5636,82.9694
119,A2RU67,1,single-pass transmembrane,78.3098,78.9679
120,A2RUG3,3,medium transmembrane,65.4171,65.77
121,A2RUT3,2,medium transmembrane,62.3121,62.9349
122,A2VDJ0,1,single-pass transmembrane,53.0383,53.4038
123,A3KFT3,7,GPCR transmembrane,85.2245,85.1276
124,A4D0T2,1,single-pass transmembrane,72.1503,72.6834
125,A4D0T7,2,medium transmembrane,85.3554,85.3398
126,A4D1S0,1,single-pass transmembrane,59.0103,59.8099
127,A4D256,1,single-pass transmembrane,85.8093,86.0258
128,A4D2G3,7,GPCR transmembrane,84.6731,84.5982
129,A4D2H0,1,single-pass transmembrane,68.4491,69.4522
130,A4FU28,2,medium transmembrane,68.35,69.2827
131,A4IF30,10,large transmembrane,66.8403,67.0675
132,A5D6W6,6,medium transmembrane,85.6273,85.5718
133,A5PLK6,4,medium transmembrane,66.3432,66.9605
134,A5PLL7,4,medium transmembrane,90.7592,91.0463
135,A5X5Y0,4,medium transmembrane,80.7762,81.3039
136,A5YM72,5,medium transmembrane,88.8668,89.193
137,A6BM72,1,single-pass transmembrane,74.28,73.9433
138,A6H8M9,1,single-pass transmembrane,78.6945,79.0389
139,A6NC51,6,medium transmembrane,92.839,92.9741
140,A6NCQ9,1,single-pass transmembrane,61.8005,62.3251
141,A6NCV1,7,GPCR transmembrane,88.1355,88.0963
142,A6ND48,7,GPCR transmembrane,81.4186,81.4072
143,A6NDA9,1,single-pass transmembrane,77.6083,78.1368
144,A6NDD5,2,medium transmembrane,55.6936,55.4166
145,A6NDH6,7,GPCR transmembrane,88.4344,88.4849
146,A6NDL8,7,GPCR transmembrane,85.9138,85.9023
147,A6NDP7,8,large transmembrane,86.0466,86.3231
148,A6NDV4,7,GPCR transmembrane,80.6203,81.4726
149,A6NDX4,1,single-pass transmembrane,45.5824,45.6798
150,A6NEH6,1,single-pass transmembrane,66.0595,67.6366
151,A6NET4,7,GPCR transmembrane,82.5002,82.4863
152,A6NF34,1,single-pass transmembrane,63.6384,63.6717
153,A6NF89,7,GPCR transmembrane,89.9161,89.8246
154,A6NFA0,1,single-pass transmembrane,50.1744,50.443
155,A6NFC5,4,medium transmembrane,80.5086,80.7234
156,A6NFC9,4,medium transmembrane,60.146,60.3356
157,A6NFE2,3,medium transmembrane,58.9354,59.19
158,A6NFR6,2,medium transmembrane,51.8497,52.3103
159,A6NFU0,1,single-pass transmembrane,82.8465,83.0054
160,A6NFX1,12,large transmembrane,78.6705,79.2077
161,A6NFY4,5,medium transmembrane,80.25,80.2365
162,A6NFZ4,1,single-pass transmembrane,64.353,64.564
163,A6NGA9,4,medium transmembrane,73.3573,73.6218
164,A6NGB0,3,medium transmembrane,75.2573,76.3029
165,A6NGB7,4,medium transmembrane,68.413,68.1495
166,A6NGC4,7,GPCR transmembrane,86.439,86.4218
167,A6NGU5,1,single-pass transmembrane,94.3622,94.4202
168,A6NGY5,7,GPCR transmembrane,86.5041,86.4484
169,A6NGZ8,1,single-pass transmembrane,67.4153,68.2695
170,A6NH00,7,GPCR transmembrane,88.5998,88.4557
171,A6NH11,1,single-pass transmembrane,82.6724,83.0788
172,A6NH21,10,large transmembrane,71.089,71.6463
173,A6NH52,4,medium transmembrane,79.531,80.0725
174,A6NHA9,7,GPCR transmembrane,88.9921,89.012
175,A6NHG9,7,GPCR transmembrane,89.1485,89.1504
176,A6NHS7,1,single-pass transmembrane,62.4012,62.5517
177,A6NI61,7,GPCR transmembrane,90.6127,91.2828
178,A6NI73,1,single-pass transmembrane,81.0751,81.939
179,A6NIJ9,7,GPCR transmembrane,89.5742,89.5625
180,A6NIL9,1,single-pass transmembrane,81.2539,81.3977
181,A6NIM6,12,large transmembrane,75.6466,75.4704
182,A6NJU9,1,single-pass transmembrane,43.3283,43.8742
183,A6NJW4,1,single-pass transmembrane,78.691,79.0871
184,A6NJW9,1,single-pass transmembrane,82.0667,82.0145
185,A6NJY1,8,large transmembrane,79.5373,79.3141
186,A6NJY4,2,medium transmembrane,84.2575,84.3873
187,A6NJZ3,7,GPCR transmembrane,89.0015,89.2185
188,A6NK97,12,large transmembrane,86.3826,86.4385
189,A6NKB5,14,large transmembrane,56.5015,57.6492
190,A6NKF7,2,medium transmembrane,66.3568,66.5272
191,A6NKK0,7,GPCR transmembrane,88.1493,88.1084
192,A6NKL6,2,medium transmembrane,49.6138,50.093
193,A6NKP2,1,single-pass transmembrane,86.3577,86.5639
194,A6NKW6,1,single-pass transmembrane,69.4303,69.2888
195,A6NKX4,12,large transmembrane,78.0905,77.9328
196,A6NL05,1,single-pass transmembrane,55.9268,56.461
197,A6NL08,7,GPCR transmembrane,89.9582,89.9404
198,A6NL26,7,GPCR transmembrane,87.7858,87.6696
199,A6NL99,7,GPCR transmembrane,82.1038,82.1761
200,A6NLX4,2,medium transmembrane,62.513,62.0433
201,A6NM03,7,GPCR transmembrane,87.1479,87.077
202,A6NM10,7,GPCR transmembrane,76.8431,77.0233
203,A6NM11,1,single-pass transmembrane,41.8935,42.156
204,A6NM45,4,medium transmembrane,85.2419,85.3436
205,A6NM62,1,single-pass transmembrane,44.6993,44.4601
206,A6NM76,7,GPCR transmembrane,89.8882,89.8561
207,A6NMB1,1,single-pass transmembrane,82.5657,83.1227
208,A6NMD0,2,medium transmembrane,54.8977,55.4432
209,A6NML5,4,medium transmembrane,73.9335,73.2038
210,A6NMS3,7,GPCR transmembrane,87.5451,87.4146
211,A6NMS7,1,single-pass transmembrane,41.7215,41.9754
212,A6NMU1,7,GPCR transmembrane,83.8564,83.8145
213,A6NMZ5,7,GPCR transmembrane,82.6118,82.1871
214,A6NN92,4,medium transmembrane,83.756,83.7269
215,A6NNB3,2,medium transmembrane,65.3424,65.2888
216,A6NNC1,2,medium transmembrane,43.3613,44.0019
217,A6NND4,7,GPCR transmembrane,89.4325,89.6713
218,A6NNE9,3,medium transmembrane,62.5372,63.6037
219,A6NNN8,11,large transmembrane,84.0698,84.2436
220,A6NNS2,1,single-pass transmembrane,87.0644,86.6024
221,A6PVL3,2,medium transmembrane,60.0085,59.9145
222,A7MBM2,12,large transmembrane,67.5617,68.3161
223,A8CG34,2,medium transmembrane,43.1915,43.5758
224,A8K4G0,1,single-pass transmembrane,79.6878,80.2863
225,A8MPY1,4,medium transmembrane,76.1359,76.5729
226,A8MRT5,1,single-pass transmembrane,44.1877,44.8741
227,A8MTT3,1,single-pass transmembrane,91.4244,91.4962
228,A8MUP6,3,medium transmembrane,75.4211,75.4481
229,A8MV81,2,medium transmembrane,65.0527,63.9918
230,A8MVS5,1,single-pass transmembrane,74.4695,74.6288
231,A8MVW0,1,single-pass transmembrane,58.845,59.7565
232,A8MVW5,1,single-pass transmembrane,78.3371,78.4667
233,A8MVZ5,1,single-pass transmembrane,87.9007,87.8258
234,A8MWK0,4,medium transmembrane,85.8748,86.3728
235,A8MWL6,4,medium transmembrane,78.7497,79.4073
236,A8MWL7,4,medium transmembrane,59.0398,58.1656
237,A8MWV9,2,medium transmembrane,60.95,61.6591
238,A8MWY0,1,single-pass transmembrane,75.9161,76.1924
239,A8MXE2,1,single-pass transmembrane,88.4341,88.0978
240,A8MXK1,1,single-pass transmembrane,88.1993,88.135
241,A8MXV6,2,medium transmembrane,53.7888,54.0353
242,A8MYB1,4,medium transmembrane,84.5795,84.9857
243,A8MYU2,7,GPCR transmembrane,74.2816,74.5035
244,A8MZ97,1,single-pass transmembrane,57.7372,58.1989
245,A9Z1Z3,1,single-pass transmembrane,75.2303,75.8775
246,B0FP48,1,single-pass transmembrane,82.3933,83.0411
247,B0YJ81,6,medium transmembrane,74.2591,75.8465
248,B1AL88,1,single-pass transmembrane,62.6271,63.7961
249,B2RN74,7,GPCR transmembrane,78.636,79.0678
250,B2RUZ4,1,single-pass transmembrane,71.0132,71.5764
251,B2RXF0,7,GPCR transmembrane,79.6151,81.5381
252,B3SHH9,4,medium transmembrane,82.5755,82.2636
253,B4DJY2,1,single-pass transmembrane,59.7478,59.5765
254,B4DYI2,3,medium transmembrane,40.9373,41.2288
255,B6A8C7,1,single-pass transmembrane,84.5164,84.7759
256,B6SEH9,1,single-pass transmembrane,45.9056,45.9791
257,B7U540,2,medium transmembrane,80.5639,81.0518
258,B7Z8K6,1,single-pass transmembrane,81.1194,80.9643
259,B7ZAQ6,9,large transmembrane,82.8255,83.1018
260,B8ZZ34,1,single-pass transmembrane,56.5226,56.7724
261,B9EJG8,6,medium transmembrane,91.738,91.5829
262,C9JDP6,4,medium transmembrane,82.9993,82.8411
263,C9JG80,1,single-pass transmembrane,43.9316,44.6538
264,C9JH25,7,GPCR transmembrane,52.4041,52.8988
265,C9JI98,2,medium transmembrane,67.4284,68.36
266,C9JQI7,5,medium transmembrane,73.7973,73.8771
267,C9JQL5,2,medium transmembrane,59.4947,59.7987
268,C9JVW0,1,single-pass transmembrane,59.2655,59.8584
269,D3W0D1,1,single-pass transmembrane,82.1634,82.3545
270,E2RYF6,1,single-pass transmembrane,67.5197,67.2084
271,E5RHQ5,3,medium transmembrane,39.8647,40.474
272,E5RIL1,1,single-pass transmembrane,82.3933,83.0411
273,E7ERA6,1,single-pass transmembrane,72.2632,72.7161
274,E9PQ53,2,medium transmembrane,84.3097,84.6231
275,E9PQR5,2,medium transmembrane,52.05,52.3367
276,E9PQX1,3,medium transmembrane,84.9751,84.2831
277,F2Z333,1,single-pass transmembrane,76.5712,77.618
278,F5H4A9,1,single-pass transmembrane,59.4685,60.7933
279,F8W0I5,2,medium transmembrane,44.1097,44.7656
280,G3V0H7,11,large transmembrane,82.3873,82.1367
281,H3BN30,1,single-pass transmembrane,34.6267,34.802
282,H3BR10,1,single-pass transmembrane,65.6864,65.8848
283,H3BS89,4,medium transmembrane,74.5725,73.8941
284,H3BTG2,2,medium transmembrane,67.598,67.9455
285,H3BV60,1,single-pass transmembrane,68.5705,68.9872
286,H7C241,4,medium transmembrane,86.287,85.9825
287,H7C350,2,medium transmembrane,59.9953,61.6355
288,I3L273,1,single-pass transmembrane,47.7446,47.8778
289,K7EJ46,1,single-pass transmembrane,76.2587,75.8181
290,K9M1U5,1,single-pass transmembrane,77.3087,76.9968
291,M0QZC1,1,single-pass transmembrane,64.8127,64.9572
292,O00124,2,medium transmembrane,76.8957,77.6864
293,O00144,7,GPCR transmembrane,81.0246,81.8913
294,O00155,7,GPCR transmembrane,82.7527,82.7824
295,O00168,1,single-pass transmembrane,71.2641,70.8092
296,O00180,4,medium transmembrane,83.4657,83.7794
297,O00198,2,medium transmembrane,72.4399,73.0297
298,O00206,1,single-pass transmembrane,88.8928,89.1131
299,O00219,6,medium transmembrane,91.2976,91.4461
300,O00220,1,single-pass transmembrane,66.0112,66.794
301,O00222,7,GPCR transmembrane,84.3207,84.381
302,O00237,4,medium transmembrane,73.3892,73.9133
303,O00238,1,single-pass transmembrane,84.8715,85.1283
304,O00241,1,single-pass transmembrane,84.3982,84.6227
305,O00254,7,GPCR transmembrane,76.4518,76.8268
306,O00258,3,medium transmembrane,77.6586,78.0997
307,O00264,1,single-pass transmembrane,83.2568,84.27
308,O00270,7,GPCR transmembrane,84.1789,84.1063
309,O00322,4,medium transmembrane,86.5241,86.8513
310,O00337,11,large transmembrane,82.1936,81.9013
311,O00341,10,large transmembrane,77.8179,77.9777
312,O00391,1,single-pass transmembrane,77.7566,78.5445
313,O00398,7,GPCR transmembrane,81.8883,82.221
314,O00400,12,large transmembrane,82.118,82.5993
315,O00421,7,GPCR transmembrane,78.1464,78.2676
316,O00445,1,single-pass transmembrane,84.2077,84.4734
317,O00453,1,single-pass transmembrane,70.8153,70.4993
318,O00461,1,single-pass transmembrane,67.2628,67.8424
319,O00476,9,large transmembrane,79.0507,79.3525
320,O00478,1,single-pass transmembrane,82.6464,83.0592
321,O00481,1,single-pass transmembrane,89.1996,89.1621
322,O00483,1,single-pass transmembrane,92.3644,92.0262
323,O00501,4,medium transmembrane,83.6698,83.2791
324,O00519,1,single-pass transmembrane,95.3747,95.4688
325,O00526,1,single-pass transmembrane,75.3315,75.5851
326,O00533,1,single-pass transmembrane,77.6219,77.9827
327,O00548,1,single-pass transmembrane,75.5585,75.8206
328,O00555,24,large transmembrane,57.3695,57.9754
329,O00574,7,GPCR transmembrane,82.073,82.1104
330,O00590,7,GPCR transmembrane,79.4721,80.0169
331,O00591,4,medium transmembrane,79.2696,79.5052
332,O00592,1,single-pass transmembrane,53.1494,53.9282
333,O00624,11,large transmembrane,83.9191,84.1409
334,O00631,1,single-pass transmembrane,91.9535,92.0426
335,O00767,4,medium transmembrane,89.3357,90.0126
336,O14493,4,medium transmembrane,84.6018,84.5215
337,O14494,6,medium transmembrane,87.8009,87.4182
338,O14495,6,medium transmembrane,84.2032,84.2931
339,O14511,1,single-pass transmembrane,55.3013,56.0004
340,O14514,7,GPCR transmembrane,61.9988,62.5821
341,O14520,6,medium transmembrane,84.8254,84.9231
342,O14522,1,single-pass transmembrane,83.34,83.7919
343,O14523,1,single-pass transmembrane,64.3366,65.1778
344,O14524,5,medium transmembrane,76.3428,77.1144
345,O14525,1,single-pass transmembrane,62.4964,62.9097
346,O14548,1,single-pass transmembrane,81.3968,81.7041
347,O14569,6,medium transmembrane,94.0357,93.628
348,O14581,7,GPCR transmembrane,84.9238,85.0154
349,O14609,4,medium transmembrane,60.0419,60.2154
350,O14626,7,GPCR transmembrane,88.1037,88.116
351,O14638,1,single-pass transmembrane,95.1832,95.3581
352,O14649,4,medium transmembrane,74.8181,76.0695
353,O14653,1,single-pass transmembrane,83.4876,83.7211
354,O14662,1,single-pass transmembrane,76.6791,77.0822
355,O14668,1,single-pass transmembrane,67.5334,68.5454
356,O14669,1,single-pass transmembrane,72.4589,73.0702
357,O14672,1,single-pass transmembrane,79.5054,79.6555
358,O14678,6,medium transmembrane,86.8832,87.5382
359,O14681,2,medium transmembrane,86.2836,86.6823
360,O14683,4,medium transmembrane,75.7776,76.0256
361,O14684,4,medium transmembrane,96.0591,96.251
362,O14718,7,GPCR transmembrane,85.7328,85.945
363,O14735,6,medium transmembrane,89.7516,89.843
364,O14763,1,single-pass transmembrane,70.7494,71.3812
365,O14764,4,medium transmembrane,79.5249,80.2011
366,O14786,1,single-pass transmembrane,78.5786,79.3479
367,O14788,1,single-pass transmembrane,79.511,79.795
368,O14798,1,single-pass transmembrane,71.8826,72.4591
369,O14804,7,GPCR transmembrane,85.2677,85.073
370,O14817,4,medium transmembrane,89.66,89.9088
371,O14828,5,medium transmembrane,76.575,76.9462
372,O14836,1,single-pass transmembrane,62.7315,62.944
373,O14842,7,GPCR transmembrane,89.384,89.451
374,O14843,7,GPCR transmembrane,85.7102,86.245
375,O14863,6,medium transmembrane,72.6996,73.1085
376,O14880,4,medium transmembrane,92.2566,92.8436
377,O14894,4,medium transmembrane,86.2646,86.143
378,O14917,1,single-pass transmembrane,67.9117,68.1548
379,O14925,4,medium transmembrane,59.6023,59.9156
380,O14944,1,single-pass transmembrane,69.1159,69.8565
381,O14949,1,single-pass transmembrane,94.1172,94.2725
382,O14957,1,single-pass transmembrane,89.588,89.1708
383,O14967,1,single-pass transmembrane,76.1199,76.2027
384,O14975,1,single-pass transmembrane,92.5351,92.7394
385,O14983,10,large transmembrane,88.6646,88.6152
386,O15031,1,single-pass transmembrane,82.4915,82.7065
387,O15033,1,single-pass transmembrane,83.3543,83.6844
388,O15079,1,single-pass transmembrane,59.9566,61.3617
389,O15118,13,large transmembrane,85.1207,85.3593
390,O15120,1,single-pass transmembrane,90.8931,91.4529
391,O15121,4,medium transmembrane,96.3067,96.42
392,O15126,4,medium transmembrane,79.5461,79.8762
393,O15127,4,medium transmembrane,76.7683,77.729
394,O15146,1,single-pass transmembrane,78.9274,78.976
395,O15155,1,single-pass transmembrane,83.3573,83.9744
396,O15165,1,single-pass transmembrane,58.514,58.2679
397,O15173,1,single-pass transmembrane,77.7168,80.024
398,O15197,1,single-pass transmembrane,80.0116,81.1543
399,O15218,7,GPCR transmembrane,78.5756,79.7713
400,O15229,2,medium transmembrane,89.1641,89.0049
401,O15239,1,single-pass transmembrane,97.2949,97.2678
402,O15243,4,medium transmembrane,81.1893,80.3154
403,O15244,12,large transmembrane,83.6951,83.7046
404,O15245,12,large transmembrane,84.9583,85.0754
405,O15258,4,medium transmembrane,78.6189,79.2842
406,O15260,8,large transmembrane,84.2168,84.2358
407,O15269,1,single-pass transmembrane,94.2058,94.0955
408,O15303,7,GPCR transmembrane,85.8106,86.0642
409,O15321,9,large transmembrane,84.3368,84.6513
410,O15342,2,medium transmembrane,93.0048,93.0734
411,O15354,7,GPCR transmembrane,61.4077,61.811
412,O15374,12,large transmembrane,79.5664,79.7233
413,O15375,12,large transmembrane,80.7567,80.7764
414,O15389,1,single-pass transmembrane,77.3938,77.9118
415,O15393,1,single-pass transmembrane,80.6199,81.0464
416,O15394,1,single-pass transmembrane,81.2449,81.63
417,O15399,3,medium transmembrane,63.2289,64.0021
418,O15400,1,single-pass transmembrane,78.114,78.5226
419,O15403,12,large transmembrane,76.5083,76.1803
420,O15427,12,large transmembrane,83.6543,83.5874
421,O15431,3,medium transmembrane,71.4041,71.6789
422,O15432,3,medium transmembrane,72.4079,72.4327
423,O15438,17,large transmembrane,82.0671,82.4003
424,O15439,12,large transmembrane,83.2212,83.5915
425,O15440,12,large transmembrane,78.0871,78.2763
426,O15455,1,single-pass transmembrane,91.1901,91.2194
427,O15466,1,single-pass transmembrane,91.1976,91.0931
428,O15482,3,medium transmembrane,73.969,75.0462
429,O15503,6,medium transmembrane,68.5339,68.6187
430,O15529,7,GPCR transmembrane,86.4497,86.9492
431,O15533,1,single-pass transmembrane,87.4111,88.1447
432,O15547,1,single-pass transmembrane,82.9482,83.9648
433,O15551,4,medium transmembrane,81.5601,81.4276
434,O15552,7,GPCR transmembrane,88.0765,88.4348
435,O15554,6,medium transmembrane,84.492,84.8505
436,O43155,1,single-pass transmembrane,75.1499,75.4737
437,O43157,1,single-pass transmembrane,75.1934,76.0471
438,O43169,1,single-pass transmembrane,80.5732,81.8967
439,O43173,1,single-pass transmembrane,86.7831,86.9567
440,O43174,1,single-pass transmembrane,89.9256,90.216
441,O43184,1,single-pass transmembrane,71.9196,71.6608
442,O43193,7,GPCR transmembrane,76.3498,77.2122
443,O43194,7,GPCR transmembrane,76.04,76.5003
444,O43246,14,large transmembrane,80.4342,80.5059
445,O43286,1,single-pass transmembrane,88.1128,88.1262
446,O43291,1,single-pass transmembrane,79.555,80.1223
447,O43292,8,large transmembrane,87.1221,87.3783
448,O43300,1,single-pass transmembrane,79.1108,79.4604
449,O43306,12,large transmembrane,76.1125,76.1793
450,O43315,6,medium transmembrane,91.4565,91.066
451,O43424,3,medium transmembrane,75.9547,76.1427
452,O43451,1,single-pass transmembrane,93.0989,93.5625
453,O43462,6,medium transmembrane,87.0827,87.8286
454,O43490,5,medium transmembrane,85.6923,85.8977
455,O43493,1,single-pass transmembrane,49.3808,49.8349
456,O43497,24,large transmembrane,58.0362,59.1886
457,O43505,1,single-pass transmembrane,88.5385,88.5998
458,O43506,1,single-pass transmembrane,83.5355,83.5296
459,O43508,1,single-pass transmembrane,77.4979,77.6365
460,O43511,13,large transmembrane,81.4866,81.5598
461,O43520,10,large transmembrane,79.9115,79.9571
462,O43525,6,medium transmembrane,56.3115,57.1084
463,O43526,6,medium transmembrane,58.5376,59.582
464,O43529,1,single-pass transmembrane,85.9678,86.1438
465,O43556,1,single-pass transmembrane,73.291,73.2634
466,O43557,1,single-pass transmembrane,83.93,83.8076
467,O43561,1,single-pass transmembrane,59.0469,59.4417
468,O43567,1,single-pass transmembrane,72.4788,72.7622
469,O43570,1,single-pass transmembrane,87.6549,88.3933
470,O43581,1,single-pass transmembrane,79.1709,80.3702
471,O43603,7,GPCR transmembrane,77.8435,79.4156
472,O43613,7,GPCR transmembrane,78.771,79.5912
473,O43614,7,GPCR transmembrane,77.949,78.27
474,O43657,4,medium transmembrane,88.5797,88.4437
